GEOID,NAME,total_incomeE,total_incomeM,ratio_halfE,ratio_halfM,ratio_oneE,ratio_oneM,med_grs_rentE,med_grs_rentM
"24510080800","Census Tract 808, Baltimore city, Maryland",1260,211,266,174,487,194,578,194
"24510080102","Census Tract 801.02, Baltimore city, Maryland",1943,338,158,83,182,147,1172,133
"24510080200","Census Tract 802, Baltimore city, Maryland",1396,162,189,132,197,89,904,211
"24510200800","Census Tract 2008, Baltimore city, Maryland",2450,315,415,211,314,132,906,228
"24510240200","Census Tract 2402, Baltimore city, Maryland",2955,296,82,77,25,26,2001,
"24510250204","Census Tract 2502.04, Baltimore city, Maryland",4178,414,1278,403,1346,405,274,44
"24510250206","Census Tract 2502.06, Baltimore city, Maryland",2007,239,89,65,323,190,788,258
"24510250500","Census Tract 2505, Baltimore city, Maryland",6010,877,1180,625,582,309,896,70
"24510260101","Census Tract 2601.01, Baltimore city, Maryland",4743,434,573,239,322,186,972,32
"24510260301","Census Tract 2603.01, Baltimore city, Maryland",4574,401,728,398,570,303,1287,91
"24510270600","Census Tract 2706, Baltimore city, Maryland",4674,556,303,287,432,249,817,112
"24510010100","Census Tract 101, Baltimore city, Maryland",2934,251,147,90,222,194,1809,124
"24510010500","Census Tract 105, Baltimore city, Maryland",1979,238,65,39,89,51,1155,145
"24510070200","Census Tract 702, Baltimore city, Maryland",3183,406,391,157,758,285,1093,66
"24510070300","Census Tract 703, Baltimore city, Maryland",917,147,457,141,137,83,775,164
"24510070400","Census Tract 704, Baltimore city, Maryland",1207,168,150,186,315,132,702,159
"24510080400","Census Tract 804, Baltimore city, Maryland",1172,295,260,224,183,94,727,190
"24510130100","Census Tract 1301, Baltimore city, Maryland",2937,355,504,262,527,172,744,96
"24510130200","Census Tract 1302, Baltimore city, Maryland",3351,618,889,437,668,384,918,72
"24510130806","Census Tract 1308.06, Baltimore city, Maryland",1285,155,72,73,70,44,1491,352
"24510200200","Census Tract 2002, Baltimore city, Maryland",2412,595,219,244,770,486,1001,185
"24510200600","Census Tract 2006, Baltimore city, Maryland",2800,426,770,485,430,256,1072,155
"24510200701","Census Tract 2007.01, Baltimore city, Maryland",4566,438,325,215,761,320,932,148
"24510270803","Census Tract 2708.03, Baltimore city, Maryland",6416,537,515,320,721,245,981,71
"24510270901","Census Tract 2709.01, Baltimore city, Maryland",4267,477,224,144,199,130,985,26
"24510271400","Census Tract 2714, Baltimore city, Maryland",3525,184,186,66,185,136,1263,114
"24510271600","Census Tract 2716, Baltimore city, Maryland",4906,565,590,279,1230,558,958,44
"24005400702","Census Tract 4007.02, Baltimore County, Maryland",1861,172,20,20,36,33,1073,132
"24005402307","Census Tract 4023.07, Baltimore County, Maryland",5531,502,483,377,612,447,1226,109
"24005402602","Census Tract 4026.02, Baltimore County, Maryland",2003,178,86,58,128,95,1163,411
"24005492300","Census Tract 4923, Baltimore County, Maryland",4081,414,262,129,30,37,1146,188
"24005408304","Census Tract 4083.04, Baltimore County, Maryland",4870,310,103,77,64,60,1458,361
"24005451401","Census Tract 4514.01, Baltimore County, Maryland",3754,425,179,170,205,200,1140,132
"24005451402","Census Tract 4514.02, Baltimore County, Maryland",6399,799,623,752,1280,808,1106,36
"24005492401","Census Tract 4924.01, Baltimore County, Maryland",3991,355,221,235,166,161,1364,100
"24005492402","Census Tract 4924.02, Baltimore County, Maryland",6664,610,289,232,203,156,1446,95
"24005980000","Census Tract 9800, Baltimore County, Maryland",0,12,0,12,0,12,,
"24005411308","Census Tract 4113.08, Baltimore County, Maryland",3383,231,23,19,59,61,1703,366
"24005411309","Census Tract 4113.09, Baltimore County, Maryland",8867,531,223,110,52,62,2001,
"24005430104","Census Tract 4301.04, Baltimore County, Maryland",2887,312,349,242,31,27,1176,172
"24005492500","Census Tract 4925, Baltimore County, Maryland",163,126,78,78,29,37,1129,92
"24005492600","Census Tract 4926, Baltimore County, Maryland",3651,347,134,76,221,222,1084,68
"24005980100","Census Tract 9801, Baltimore County, Maryland",0,12,0,12,0,12,,
"24005980200","Census Tract 9802, Baltimore County, Maryland",0,12,0,12,0,12,,
"24005401506","Census Tract 4015.06, Baltimore County, Maryland",5110,426,129,129,183,182,1396,92
"24005401507","Census Tract 4015.07, Baltimore County, Maryland",5521,462,576,368,148,121,1132,41
"24005402406","Census Tract 4024.06, Baltimore County, Maryland",6419,557,173,125,582,379,1367,59
"24005402509","Census Tract 4025.09, Baltimore County, Maryland",8854,631,96,108,67,71,1543,97
"24005403401","Census Tract 4034.01, Baltimore County, Maryland",3091,226,142,86,81,42,1279,91
"24005403402","Census Tract 4034.02, Baltimore County, Maryland",4465,494,332,201,379,148,910,145
"24005404101","Census Tract 4041.01, Baltimore County, Maryland",4990,465,64,71,335,468,1491,162
"24005404102","Census Tract 4041.02, Baltimore County, Maryland",5670,488,238,230,337,311,1146,69
"24005404403","Census Tract 4044.03, Baltimore County, Maryland",5296,503,513,294,790,373,1044,63
"24005411302","Census Tract 4113.02, Baltimore County, Maryland",3729,320,99,81,245,207,1020,385
"24005411406","Census Tract 4114.06, Baltimore County, Maryland",4569,259,69,48,167,147,1650,261
"24005420301","Census Tract 4203.01, Baltimore County, Maryland",2738,280,283,248,252,161,870,43
"24005410200","Census Tract 4102, Baltimore County, Maryland",4970,322,324,249,0,12,,
"24005404600","Census Tract 4046, Baltimore County, Maryland",2573,236,36,42,79,60,1548,282
"24005404900","Census Tract 4049, Baltimore County, Maryland",4786,239,173,96,204,113,402,113
"24005411408","Census Tract 4114.08, Baltimore County, Maryland",3400,303,108,71,43,55,1019,57
"24510010300","Census Tract 103, Baltimore city, Maryland",2390,262,61,43,107,57,1539,197
"24510080301","Census Tract 803.01, Baltimore city, Maryland",1553,231,188,171,275,144,1079,116
"24510110100","Census Tract 1101, Baltimore city, Maryland",3244,495,502,309,298,204,1080,99
"24510090300","Census Tract 903, Baltimore city, Maryland",4089,455,374,152,582,369,713,75
"24510100300","Census Tract 1003, Baltimore city, Maryland",0,12,0,12,0,12,,
"24510120400","Census Tract 1204, Baltimore city, Maryland",1657,252,306,214,341,158,1045,126
"24510130600","Census Tract 1306, Baltimore city, Maryland",3817,293,214,95,146,99,1228,108
"24510130804","Census Tract 1308.04, Baltimore city, Maryland",1878,178,89,68,199,96,1117,170
"24510160200","Census Tract 1602, Baltimore city, Maryland",2626,356,330,178,562,263,789,89
"24510160400","Census Tract 1604, Baltimore city, Maryland",3065,441,582,221,512,260,1094,109
"24510160700","Census Tract 1607, Baltimore city, Maryland",4236,477,602,262,687,374,1042,123
"24510170200","Census Tract 1702, Baltimore city, Maryland",3193,435,975,388,834,258,342,50
"24510180100","Census Tract 1801, Baltimore city, Maryland",2079,278,716,262,595,185,452,65
"24510180300","Census Tract 1803, Baltimore city, Maryland",1675,282,415,170,240,114,973,104
"24510200100","Census Tract 2001, Baltimore city, Maryland",1590,235,205,158,564,242,1077,132
"24510160300","Census Tract 1603, Baltimore city, Maryland",1584,286,362,174,166,113,878,85
"24510120700","Census Tract 1207, Baltimore city, Maryland",2639,305,326,159,423,286,1100,123
"24510130400","Census Tract 1304, Baltimore city, Maryland",2256,300,351,159,200,163,997,107
"24510130700","Census Tract 1307, Baltimore city, Maryland",4660,340,185,112,270,164,917,79
"24510140300","Census Tract 1403, Baltimore city, Maryland",2655,351,512,197,520,232,911,113
"24510170100","Census Tract 1701, Baltimore city, Maryland",1539,229,181,94,305,167,789,155
"24510180200","Census Tract 1802, Baltimore city, Maryland",901,181,202,129,184,118,510,181
"24510280302","Census Tract 2803.02, Baltimore city, Maryland",2034,288,264,123,199,142,953,38
"24510200702","Census Tract 2007.02, Baltimore city, Maryland",1353,237,304,242,221,129,925,615
"24510230100","Census Tract 2301, Baltimore city, Maryland",1896,277,167,121,130,113,1272,173
"24510250205","Census Tract 2502.05, Baltimore city, Maryland",4685,593,668,344,649,302,1049,65
"24510270402","Census Tract 2704.02, Baltimore city, Maryland",3117,277,191,122,118,70,988,319
"24510250402","Census Tract 2504.02, Baltimore city, Maryland",4925,683,712,294,1124,549,784,31
"24510260501","Census Tract 2605.01, Baltimore city, Maryland",5264,714,187,101,505,449,964,168
"24510261100","Census Tract 2611, Baltimore city, Maryland",2008,167,39,36,163,141,1500,623
"24510270502","Census Tract 2705.02, Baltimore city, Maryland",4313,445,266,172,241,145,879,61
"24510270703","Census Tract 2707.03, Baltimore city, Maryland",2531,445,102,120,147,71,899,114
"24510271001","Census Tract 2710.01, Baltimore city, Maryland",2363,261,407,141,169,123,895,49
"24005404201","Census Tract 4042.01, Baltimore County, Maryland",6371,490,328,334,410,249,1189,60
